MPG,SP,HP,VOL,WT
65.4,96,49,89,17.5
56,97,55,92,20
55.9,97,55,92,20
49,105,70,92,20
46.5,96,53,92,20
46.2,105,70,89,20
45.4,97,55,92,20
59.2,98,62,50,22.5
53.3,98,62,50,22.5
43.4,107,80,94,22.5
41.1,103,73,89,22.5
40.9,113,92,50,22.5
40.9,113,92,99,22.5
40.4,103,73,89,22.5
39.6,100,66,89,22.5
39.3,103,73,89,22.5
38.9,106,78,91,22.5
38.8,113,92,50,22.5
38.2,106,78,91,22.5
42.2,109,90,103,25
40.9,110,92,99,25
40.7,101,74,107,25
40,111,95,101,25
39.3,105,81,96,25
38.8,111,95,89,25
38.4,110,92,50,25
38.4,110,92,117,25
38.4,110,92,99,25
46.9,90,52,104,27.5
36.3,112,103,107,27.5
36.1,103,84,114,27.5
36.1,103,84,101,27.5
35.4,111,102,97,27.5
35.3,111,102,113,27.5
35.1,102,81,101,27.5
35.1,106,90,98,27.5
35,106,90,88,27.5
33.2,109,102,86,30
32.9,109,102,86,30
32.3,120,130,92,30
32.2,106,95,113,30
32.2,106,95,106,30
32.2,109,102,92,30
32.2,106,95,88,30
31.5,105,93,102,30
31.5,108,100,99,30
31.4,108,100,111,30
31.4,107,98,103,30
31.2,120,130,86,30
33.7,109,115,101,35
32.6,109,115,101,35
31.3,109,115,101,35
31.3,109,115,124,35
30.4,133,180,113,35
28.9,125,160,113,35
28,115,130,124,35
28,102,96,92,35
28,109,115,101,35
28,104,100,94,35
28,105,100,115,35
27.7,120,145,111,35
25.6,107,120,116,40
25.3,114,140,131,40
23.9,114,140,123,40
23.6,117,150,121,40
23.6,122,165,50,40
23.6,122,165,114,40
23.6,122,165,127,40
23.6,122,165,123,40
23.5,148,245,112,40
23.4,160,280,50,40
23.4,121,162,135,40
23.1,121,162,132,40
22.9,110,140,160,45
22.9,110,140,129,45
19.5,121,175,129,45
18.1,165,322,50,45
17.2,140,238,115,45
17,147,263,50,45
16.7,157,295,119,45
13.2,130,236,107,55
